Date,BTC Volume,BTC Daily Volume Change (%),BTC New Coins Mined,BTC New Coins Mined (%),BTC Active Addresses,BTC Daily Active Addresses Change (%),BTC Transactions,BTC Daily Transactions Change (%)
2009-01-03,0.0,,,,0,,0,
2009-01-04,0.0,,0.0,,0,,0,
2009-01-05,0.0,,0.0,,0,,0,
2009-01-06,0.0,,0.0,,0,,0,
2009-01-07,0.0,,0.0,,0,,0,
2009-01-08,0.0,,0.0,,0,,0,
2009-01-09,0.0,,700.0,inf,0,,0,
2009-01-10,0.0,,3050.0,3.3571428571428568,0,,0,
2009-01-11,0.0,,4650.0,0.5245901639344261,0,,0,
2009-01-12,179.0,inf,4700.0,0.010752688172043001,8,inf,7,inf
2009-01-13,0.0,-1.0,6150.0,0.3085106382978724,0,-1.0,0,-1.0
2009-01-14,61.0,inf,6450.0,0.04878048780487809,4,inf,1,inf
2009-01-15,500.0,7.196721311475409,6300.0,-0.023255813953488413,14,2.5,8,7.0
2009-01-16,200.0,-0.6,5400.0,-0.1428571428571429,6,-0.5714285714285714,2,-0.75
2009-01-17,0.0,-1.0,5450.0,0.0092592592592593,0,-1.0,0,-1.0
2009-01-18,150.0,inf,5350.0,-0.01834862385321101,4,inf,1,inf
2009-01-19,775.0,4.166666666666667,5750.0,0.07476635514018692,18,3.5,2,1.0
2009-01-20,400.0,-0.4838709677419355,5700.0,-0.008695652173912993,9,-0.5,1,-0.5
2009-01-21,100.0,-0.75,5100.0,-0.10526315789473684,3,-0.6666666666666667,1,0.0
2009-01-22,500.0,4.0,4550.0,-0.10784313725490191,11,2.6666666666666665,1,0.0
2009-01-23,450.0,-0.09999999999999998,4200.0,-0.07692307692307687,11,0.0,2,1.0
2009-01-24,500.0,0.11111111111111116,10050.0,1.3928571428571428,11,0.0,1,-0.5
2009-01-25,50.0,-0.9,9550.0,-0.04975124378109452,2,-0.8181818181818181,1,0.0
2009-01-26,1000.0,19.0,4800.0,-0.4973821989528796,21,9.5,1,0.0
2009-01-27,150.0,-0.85,4850.0,0.01041666666666674,4,-0.8095238095238095,1,0.0
2009-01-28,0.0,-1.0,5600.0,0.15463917525773185,0,-1.0,0,-1.0
2009-01-29,600.0,inf,6050.0,0.0803571428571428,13,inf,1,inf
2009-01-30,0.0,-1.0,5850.0,-0.03305785123966942,0,-1.0,0,-1.0
2009-01-31,1000.0,inf,6900.0,0.17948717948717952,21,inf,1,inf
2009-02-01,100.0,-0.9,5650.0,-0.1811594202898551,3,-0.8571428571428572,1,0.0
2009-02-02,50.0,-0.5,6400.0,0.1327433628318584,2,-0.33333333333333337,1,0.0
2009-02-03,734.51,13.690199999999999,6950.0,0.0859375,15,6.5,16,15.0
