date,temp_avg,dew_point_avg,humidity_avg,wind_avg
2010-01-01,35.5,13.0,86.3,5.0
2010-01-02,25.3,15.7,67.4,22.4
2010-01-03,20.7,9.8,62.8,25.5
2010-01-04,24.7,12.0,58.7,18.3
2010-01-05,26.4,13.4,58.4,16.8
2010-01-06,29.9,16.7,58.3,17.7
2010-01-07,33.5,22.1,63.3,14.3
2010-01-08,30.6,22.0,70.7,12.0
2010-01-09,24.7,7.5,49.3,14.8
2010-01-10,22.6,3.5,44.4,11.4
2010-01-11,28.1,10.0,47.5,9.5
2010-01-12,30.4,15.6,54.5,16.2
2010-01-13,30.3,15.2,53.7,12.0
2010-01-14,36.0,20.9,54.8,6.1
2010-01-15,41.8,24.6,51.1,10.4
2010-01-16,43.6,27.7,54.1,8.9
2010-01-17,36.6,29.5,87.2,14.4
2010-01-18,40.8,27.3,77.6,13.4
2010-01-19,43.0,30.1,72.9,6.3
2010-01-20,38.0,23.8,60.5,11.2
2010-01-21,36.8,22.3,56.5,4.3
2010-01-22,37.5,21.0,52.8,8.6
2010-01-23,34.4,17.7,52.5,6.8
2010-01-24,37.2,33.1,85.2,7.1
2010-01-25,52.3,50.1,92.7,21.0
2010-01-26,40.4,19.8,53.8,14.7
2010-01-27,35.5,18.0,49.2,12.1
2010-01-28,33.8,20.8,64.0,12.5
2010-01-29,20.4,2.1,45.4,20.8
2010-01-30,17.7,0.6,47.3,12.9
2010-01-31,23.7,1.6,39.8,11.8
2010-02-01,31.3,8.5,38.6,13.8
2010-02-02,31.0,16.2,56.1,6.8
2010-02-03,32.3,25.3,76.4,9.5
2010-02-04,33.4,11.8,42.1,13.8
2010-02-05,33.8,16.6,49.8,7.1
2010-02-06,27.6,12.2,52.9,21.2
2010-02-07,25.3,9.5,51.6,17.6
2010-02-08,30.4,14.0,51.3,16.0
2010-02-09,35.4,20.9,57.0,8.5
2010-02-10,31.8,29.4,91.8,19.3
2010-02-11,32.4,19.0,58.3,20.1
2010-02-12,31.9,15.4,51.4,14.3
2010-02-13,29.3,14.0,53.4,15.5
2010-02-14,34.0,18.6,53.3,16.3
2010-02-15,34.3,21.3,62.4,10.0
2010-02-16,31.4,28.8,90.7,11.3
2010-02-17,31.3,20.1,63.5,13.5
2010-02-18,36.0,23.8,61.3,16.1
