date,temp_max,temp_avg,temp_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_max,wind_avg,wind_min
1/1/2021,41,38.0,35,36,28.0,21,87,68.4,55,14,8.5,5
1/2/2021,52,43.3,38,39,34.4,29,89,72.3,50,25,11.9,3
1/3/2021,39,38.0,36,34,31.3,27,86,77.2,65,22,15.8,8
1/4/2021,44,39.8,37,33,31.3,30,83,71.9,62,13,7.9,0
1/5/2021,42,40.3,39,31,28.7,27,73,63.5,55,13,8.4,3
1/6/2021,42,38.9,37,30,26.7,23,73,62.3,47,23,14.2,8
1/7/2021,43,37.1,33,24,21.3,19,61,53.2,40,18,13.9,9
1/8/2021,39,33.9,31,22,19.9,17,64,56.8,46,17,11.1,7
1/9/2021,37,33.5,28,18,15.6,13,61,48.4,41,24,14.8,8
1/10/2021,43,36.2,32,23,19.3,17,59,50.9,38,16,9.3,3
1/11/2021,38,34.3,31,26,21.8,19,73,60.4,52,10,3.1,0
1/12/2021,45,39.4,36,27,23.8,22,62,54.3,40,12,6.6,0
1/13/2021,44,40.8,37,27,23.6,22,62,50.6,42,15,6.0,0
1/14/2021,50,44.1,40,33,30.8,28,68,60.1,44,7,4.4,0
1/15/2021,47,42.5,38,41,36.3,32,87,78.5,70,22,13.1,0
1/16/2021,48,43.9,40,41,36.0,24,89,74.5,51,28,13.8,6
1/17/2021,46,42.4,38,25,23.5,20,60,47.8,40,24,15.4,9
1/18/2021,46,42.9,40,27,25.4,23,57,50.3,40,18,13.0,8
1/19/2021,43,40.3,38,24,21.4,17,57,47.6,35,22,14.8,7
1/20/2021,41,36.4,29,31,19.6,9,82,52.6,36,24,12.2,0
1/21/2021,45,36.4,28,25,17.0,9,53,45.6,36,15,8.2,0
1/22/2021,46,43.0,38,24,20.8,17,53,41.6,31,24,15.5,10
1/23/2021,37,31.6,27,17,9.7,5,49,40.3,32,32,20.8,13
1/24/2021,34,29.2,24,11,7.5,5,49,40.8,30,24,17.6,12
1/25/2021,39,32.4,26,15,11.5,9,53,42.4,33,14,8.5,3
1/26/2021,36,34.4,33,31,24.9,14,85,70.2,44,17,11.6,5
1/27/2021,38,36.2,33,31,26.0,19,85,67.6,54,21,10.7,0
1/28/2021,35,30.3,23,20,12.0,3,59,47.3,33,32,19.5,7
1/29/2021,27,22.5,18,6,4.0,0,52,45.3,36,33,23.9,15
1/30/2021,34,26.0,20,9,6.2,4,55,44.1,30,17,13.7,9
1/31/2021,40,24.1,21,20,11.8,8,84,60.6,31,21,10.7,0
2/1/2021,34,30.7,26,32,27.6,22,93,88.1,82,32,25.9,18
2/2/2021,35,32.5,30,33,27.1,22,96,80.5,66,22,17.3,13
2/3/2021,38,33.4,30,25,22.3,19,80,64.3,53,21,13.8,10
2/4/2021,43,37.8,33,24,20.9,18,61,51.0,41,20,11.3,0
2/5/2021,48,42.0,37,34,29.2,18,79,61.3,40,21,9.7,0
2/6/2021,45,40.3,34,18,14.7,11,50,36.0,27,31,13.3,5
2/7/2021,38,33.3,28,31,26.8,11,93,78.1,43,23,11.7,0
2/8/2021,31,25.4,19,16,7.8,4,61,48.0,33,23,10.5,0
2/9/2021,33,30.6,26,29,23.5,15,88,75.0,61,15,9.0,3
2/10/2021,36,30.8,27,24,17.0,10,79,58.2,35,12,7.0,0
2/11/2021,33,28.9,26,24,19.1,9,85,68.7,43,12,8.2,5
2/12/2021,30,26.8,22,9,4.1,-1,58,39.2,28,12,7.3,0
2/13/2021,31,28.6,26,21,9.2,2,69,44.5,35,17,11.0,7
2/14/2021,38,32.6,28,26,23.7,21,82,70.1,61,15,7.4,3
2/15/2021,34,33.7,32,31,28.1,21,89,80.7,61,13,7.8,5
